ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
27610,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3
27763,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27874,2,1,2,1,1,2,1,3,3,1,2,3,2,2,2
27927,2,1,1,2,1,2,2,1,1,2,2,2,2,1,3
28253,2,2,2,2,2,2,1,2,1,1,2,3,2,1,2
28524,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28796,3,2,2,2,2,3,3,3,3,2,4,4,3,2,2
29343,2,2,2,2,2,3,2,3,3,3,2,2,2,3,3
30584,3,2,3,2,3,3,2,3,3,3,2,3,2,3,2
30689,2,2,2,2,1,2,2,2,2,1,2,3,2,2,2
30905,2,2,2,2,2,2,2,3,3,2,3,4,2,2,2
31169,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2
31212,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1
31551,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2
31938,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2
32512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32528,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
32554,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1
32567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32597,2,2,2,2,2,2,4,2,2,2,3,3,2,2,2
32896,4,4,4,3,3,3,2,3,3,2,3,3,2,3,4
33558,3,3,2,2,2,3,4,1,1,1,2,3,2,1,3
34181,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2
34191,3,1,1,2,2,2,2,4,3,3,4,2,2,2,2
34215,3,2,2,2,4,3,3,3,2,3,2,3,2,2,2
34442,1,2,2,2,2,2,3,1,2,2,2,3,2,2,2
34911,3,2,2,3,2,3,2,3,2,2,2,3,2,2,2
35061,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2
35459,3,2,2,2,1,2,2,3,3,2,3,3,2,2,2
35548,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
35874,3,4,2,2,3,2,3,3,3,3,3,3,2,2,2
36000,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2
36259,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3
36263,4,2,2,2,4,3,2,4,4,2,4,2,3,4,2
36325,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3
36453,2,1,1,1,1,4,2,1,1,1,2,2,1,1,1
36463,4,1,2,2,3,2,2,3,2,3,3,2,2,2,3
36545,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
38063,4,4,4,4,4,1,1,1,1,1,1,3,1,1,1
38254,2,3,2,2,1,2,2,2,3,2,4,2,2,2,2
38832,4,3,2,2,4,4,2,3,3,3,2,2,2,3,2
38909,3,1,1,2,2,3,5,4,3,2,2,2,2,3,3
39096,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2
20122,2,2,2,1,2,2,1,3,3,2,3,3,2,2,2
21220,2,2,3,2,2,2,4,3,3,3,2,2,2,3,2
36524,3,2,2,3,2,2,5,2,2,2,4,4,2,2,2
37282,2,2,2,3,2,2,3,4,4,4,2,2,2,4,2
134,2,1,1,1,1,1,1,2,2,2,2,3,1,1,1
173,3,2,2,2,1,2,2,2,4,2,4,4,2,2,2
2416,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
4102,2,3,2,2,1,3,3,2,3,2,2,2,2,2,3
4150,2,2,2,2,1,2,2,3,3,2,2,3,2,2,2
5359,2,2,2,2,2,2,2,3,4,4,4,4,2,4,2
7385,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2
9954,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2
11939,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2
12554,2,2,2,2,1,2,3,1,3,2,2,3,2,2,2
12876,3,3,2,3,2,3,3,3,3,4,3,3,2,2,3
13877,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
14023,2,2,1,1,1,2,2,2,3,3,4,4,2,2,2
14926,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2
15635,1,2,2,1,1,2,3,1,3,1,2,3,1,1,2
16555,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2
17398,3,3,3,3,2,3,4,3,2,2,2,3,2,3,2
17598,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2
20624,3,3,3,3,3,3,4,4,4,3,4,3,3,2,3
24597,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2
25486,2,3,2,2,2,3,2,3,3,2,2,3,3,2,2
30302,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34091,4,4,3,3,3,4,3,4,3,3,4,3,4,2,3
35022,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2
37246,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1
37272,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2
38922,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
380,2,3,2,2,2,3,5,3,3,3,2,2,2,2,3
4671,2,2,2,1,1,2,3,2,2,1,3,2,2,2,2
9028,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
11446,2,2,1,1,1,3,1,2,1,1,1,2,3,3,3
11484,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2
12585,2,2,2,2,1,2,2,2,3,3,4,3,2,2,2
13059,3,1,2,2,2,4,2,4,4,2,2,2,3,2,3
13741,4,2,3,3,3,3,3,3,4,2,4,4,4,4,4
13929,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2
14095,2,2,3,1,1,1,2,1,1,1,2,2,2,1,1
16087,2,2,2,2,2,2,5,1,2,1,3,2,2,2,2
16236,1,1,2,2,1,1,1,1,2,3,2,2,1,1,2
18799,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1
19753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19763,2,2,2,1,1,1,2,2,3,2,2,3,2,2,4
20652,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1
20890,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2
21164,2,3,2,2,2,2,2,3,3,1,2,2,2,2,3
21264,2,2,2,3,1,2,2,2,2,2,2,2,2,1,2
27760,2,2,2,2,1,1,2,1,1,1,2,3,2,1,2
28009,2,2,2,1,1,1,1,1,2,2,3,2,2,2,2
29007,2,3,2,1,2,3,2,1,1,1,3,3,3,2,3
30416,2,2,3,3,3,2,3,3,3,3,3,3,2,2,3
30622,1,1,1,2,2,2,2,1,3,3,3,2,3,2,2
33870,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4
34317,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1
37308,3,1,1,2,2,2,2,2,2,2,2,3,2,2,3
38724,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2
39030,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2
39128,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1
20056,3,2,2,2,2,2,5,3,2,3,2,2,2,2,2
20324,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
20367,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1
20387,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
20392,2,2,2,1,1,3,2,1,2,2,2,2,2,1,2
20394,2,2,2,1,2,2,3,2,3,3,2,2,2,2,2
20397,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2
20398,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20401,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2
20408,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1
20410,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20412,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2
20422,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1
20427,2,2,2,1,1,2,1,2,2,3,1,1,1,1,2
20428,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20429,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2
20437,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2
20447,2,1,2,1,2,2,2,2,2,3,2,2,2,2,2
20463,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
20482,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2
20490,2,2,2,2,2,2,3,2,1,1,2,4,2,2,2
20499,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2
20532,3,2,2,2,1,2,2,4,4,4,2,2,2,3,2
20539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20549,2,2,2,1,3,2,2,1,1,1,1,2,1,1,1
20553,2,2,2,2,2,2,2,3,3,1,2,2,2,2,2
20555,1,1,1,2,2,2,3,1,2,2,2,2,1,2,2
20578,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
20581,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2
20596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20601,1,3,2,1,2,2,3,1,2,2,2,2,1,1,2
20617,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2
20620,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2
20660,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20681,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20686,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2
20698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20707,2,2,3,2,2,2,2,3,2,3,2,3,2,2,2
20742,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
20758,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20911,3,3,3, ,2,3,2,4,4,3,2,3,2,2,3
20926,1,2,2,1,1,2,2,2,3,2,1,1,1,2,2
20927,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2
20962,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2
21010,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1
21144,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
21257,1,1,1,1,1,2,1,2,3,2,2,2,2,2,2
21258,2,2,1,1,2,2,1,2,2,1,2,4,2,2,2
21346,2,3,2,2,2,3,2,2,3,2,3,2,3,2,3
21438,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
21444,2,2,2,1,1,3,2,1,2,2,1,2,1,1,1
27759,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2
28612,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
28632,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30430,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2
31019,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
38790,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2
38811,2,2,2,2,1,3,2,2,2,2,2,3,2,2,2
38815,3,2,2,2,2,4,2,4,4,4,4,2,2,2,4
38843,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1
38920,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2
39184,2,4,2,1,2,2,2,1,1,1,1,1,1,1,1
19698,2,2,3,2,1,2,2,2,1,1,3,3,2,2,2
20186,4,2,2,2,1,1,2,2,2,2,2,2,1,2,3
20322,1,2,1,1,1,4,2,1,1,1,2,2,1,2,4
21190,4,3,2,2,2,2,3,3,2,4,2,2,2,4,4
26180,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2
38845,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19687,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
22897,2,3,2,1,1,1,2,3,1,4,2,2,1,2,2
89,2,2,2,1,1,2,1,2,2,2,3,3,2,1,2
381,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2
539,2,2,2,2,2,2,2,2,2,2,4,4,3,2,2
660,4,3,4,2,2,3,4,4,4,4,4,4,3,4,3
697,3,2,2,2,2,3,3,2,2,2,2,4,2,2,4
952,3,2,4,2,3,2,2,3,4,4,4,4,2,2,3
1144,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2
1286,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1
1294,3,1,2,2,3,2,2,2,2,2,4,3,2,2,2
1370,2,2,2,2,1,2,2,4,4,3,3,3,2,3,2
1436,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2
1586,2,2,3,1,2,3,2,3,2,2,3,3,3,2,2
1894,4,2,3,3,2,2,4,4,4,4,4,4,2,4,2
2226,1,2,2,2,1,3,2,1,1,1,1,3,2,1,2
2415,2,2,3,1,2,2,3,2,2,2,3,3,2,2,2
2467,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2
2523,1,1,2,1,1,1,1,1,1,2,2,3,1,1,1
2546,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
2579,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2634,1,1,1,2,1,2,2,2,3,1,2,2,2,2,2
3204,2,2,1,2,1,1,1,2,2,2,2,3,2,1,2
3208,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
3217,4,2,2,3,3,2,5,3,3,2,4,4,2,3,3
3285,4,2,4,4,2,1,4,4,4,4,4,4,2,4,2
3316,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1
3323,3,3,4,2,2,4,5,2,3,2,4,2,2,2,4
3324,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3342,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3381,3,1,1,2,2,2,4,2,3,3,2,3,2,2,3
3658,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
3678,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1
3847,2,2,2,1,1,2,5,1,1,1,2,2,2,1,2
3860,2,2,2,1,2,2,2,2,2,2,2,4,2,2,2
3906,3,2,3,3,2,2,2,2,2,3,2,2,2,2,3
4010,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1
4023,3,3,4,4,2,3,3,3,3,3,3,2,2,3,3
4037,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
4065,2,2,2,2,2,3,3,3,3,2,2,4,2,2,4
4068,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4071,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1
4092,4,4,4,3,4,4,3,4,2,2,4,4,4,3,3
4141,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
4398,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
4617,3,2,2,2,2,3,3,3,3,4,3,4,2,3,2
4646,2,2,2,2,2,2,1,2,2,3,2,3,2,2,1
4649,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
4686,2,2,2,2,1,2,4,2,1,2,3,1,2,3,1
4732,2,3,2,3,1,2,2,2,2,2,3,3,2,2,3
4821,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1
4843,4,4,4,3,3,4,5,4,4,3,4,4,4,2,4
4895,2,2,1,2,2,2,3,2,3,3,2,2,2,2,1
4903,3,3,4,3,2,2,2,3,3,4,3,3,3,2,2
4977,2,1,1,1,2,1,1,1,1,1,3,3,1,1,1
5020,2,2,4,1,2,2,4,3,3,4,2,2,2,2,2
5045,3,3,2,3,2,2,2,2,2,2,3,3,2,2,2
5100,2,2,2,1,2,2,1,2,3,3,2,3,2,2,2
5120,2,2,2,2,2,2,2,2,3,2,3,3,2,3,3
5124,2,1,4,1,2,2,4,2,2,4,3,4,2,2,2
5283,3,2,2,2,2,3,2,3,3,2,3,4,2,2,2
5367,2,2,1,2,2,1,3,3,2,3,2,3,3,2,2
5428,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2
5678,2,3,2,2,1,2,2,2,2,2,2,3,2,2,2
5735,3,2,3,2,2,3,2,4,4,4,3,2,2,4,2
5762,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
5768,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
5924,2,1,2,1,1,2,2,3,2,2,1,1,2,1,2
5985,3,2,3,3,2,2,5,3,3,2,2,2,2,2,3
5995,4,2,3,2,3,3,3,3,3,3,2,3,2,2,3
6055,2,3,2,3,2,2,2,3,3,3,3,3,2,3,1
6072,4,4,3,2,4,3,4,3,3,3,4,4,2,4,2
6096,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6108,2,3,2,2,2,2,3,2,2,2,3,3,3,2,3
6142,4,1,3,2,2,3,4,3,4,4,4,4,3,1,3
6145,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1
6178,3,2,2,3,2,2,2,2,3,2,3,4,2,3,3
6231,2,3,2,2,1,2,2,3,2,3,2,2,2,2,3
6259,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2
6260,2,4,1,1,1,2,2,1,1,1,2,2,1,1,1
6341,2,3,2,2,2,1,2,2,1,1,1,2,2,2,1
6552,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1
6595,2,2,3,2,1,2,1,2,2,3,3,2,2,2,2
6791,4,3,3,2,3,2,3,4,4,3,4,3,3,3,3
6928,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3
7035,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2
7177,3,2,3,2,3,2,3,4,4,4,2,3,4,4,4
7217,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2
7241,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1
7318,3,2,3,2,2,2,4,3,3,3,3,3,3,3,4
7451,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1
7466,3,2,2,3,3,4,2,2,1,2,4,4,2,2,2
7480,4,3,4,2,2,2,4,4,3,3,4,4,2,3,2
7481,3,3,2,2,2,2,2,3,3,3,2,3,2,3,2
7483,3,3,2,2,2,2,5,3,2,2,3,4,2,3,2
7504,3,2,2,2,2,2,2,4,3,4,2,3,2,3,2
7572,4,1,1,1,3,2,2,2,2,2,3,3,3,1,2
7574,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2
7891,2,2,2,2,2,2,3,2,2,2,2,3,2,2,1
7937,3,2,2,2,2,2,3,2,2,1,2,3,2,1,2
8221,2,3,3,4,3,2,4,2,1,1,4,4,3,2,3
8248,2,2,1,1,1,2,2,1,1,1,2,3,2,1,2
8335,1,1,2,3,1,3,2,1,1,1,4,4,2,2,2
8389,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2
8408,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
8471,2,2,3,3,1,2,2,1,1,1,4,4,1,1,1
8499,2,1,2,1,2,2,1,1,1,1,3,3,2,2,2
8500,2,2,2,2,2,2,4,3,3,4,2,2,2,3,3
8526,2,2,2,2,3,2,2,2,2,3,3,3,2,3,3
8553,1,2,2,2,2,2,2,1,3,1,3,3,2,2,3
8558,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3
8570,4,2,2,2,2,2,3,3,2,3,4,4,2,2,2
8574,2,2,1,1,1,2,2,2,2,1,2,3,2,2,2
8578,4,4,2,2,4,2,3,2,2,1,2,3,2,2,2
8599,2,2,2,1,1,1,4,3,2,4,2,2,2,1,1
8640,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2
8647,3,3,3,3,3,2,5,3,3,3,3,3,3,3,3
8669,4,2,2,2,4,4,4,2,2,3,4,4,4,2,3
8762,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8817,3,2,2,3,3,2,4,3,3,2,3,3,2,2,2
8975,3,3,3,2,2,2,3,3,3,3,4,3,2,2,3
9035,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2
9183,2,3,2,2,1,2,3,2,2,2,2,2,4,2,2
9234,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
9246,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9247,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2
9266,3,2,3,2,2,2,5,2,2,3,4,4,2,2,2
9319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9429,4,1,1,1,1,1,1,4,2,2,4,4,2,2,2
