name,address,desc
Seattle Marriott Waterfront,"2100 Alaskan Way, Seattle, WA 98121","Experience the best of the city when you stay at Seattle Marriott Waterfront. Our prime location reveals to guests stunning views of the mountains and Elliott Bay. The world-famous Pike Place Market is an elevator ride away, and we sit adjacent to the Bell Harbor Conference Center. We're also near downtown attractions like the Seattle Waterfront, Cruise Port Terminal, Seattle Aquarium, Westlake Center and Olympic Sculpture Park. Guests enjoy upscale hotel rooms outfitted with plush bedding, mini-refrigerators, large desks and Wi-Fi; many with balconies and waterfront views. Junior Suites provide expanded living areas, perfect for extended stays, and M Club rooms can access the reimagined lounge and its special perks. Take advantage of our hotel's indoor/outdoor pool and modern gym. Delicious gastropub cuisine and tempting libations can be found at our popular restaurants and bar. If you are planning an event, look no further than our 10 redesigned venues, all well-supported by catering and technology."
The Edgewater Hotel Seattle,"2411 Alaskan Way, Seattle, WA 98121","Welcome to The Edgewater Hotel, The ""Best Hotel in Seattle"" (as reported by CNBC). With amazing views of the Olympic Mountains, the sparkling waters of Elliott Bay and breathtaking sunset views from your room while still staying at one of the best downtown Seattle hotels. Located near the cruise ship terminals, our Seattle hotel is in the heart of downtown. You'll be within walking distance to the city's favorite sites, but you just might decide to relax right in your waterfront room, turn on the fireplace and relax in your tub. The luxury Edgewater Hotel with stunning water view, has a perfect location right on Pier 67, at the city's dynamic doorstep. The heart and soul of Seattle is only steps away. This is Seattle luxury lodging, with river-rock fireplaces and urban and wilderness landscapes just outside your hotel window"
SpringHill Suites Seattle Downtown,"1800 Yale Ave, Seattle, WA 98101","Treat yourself to a rewarding stay at the SpringHill Suites Seattle Downtown/South Lake Union. Our goal is to make you as comfortable as possible - whether you're in Seattle, Washington for a night, a weekend, or an extended stay. Each of our spacious suites offers a separate living area, as well as a kitchenette with a mini-fridge, a coffee maker, and a microwave for your convenience. Take advantage of our daily complimentary breakfast every morning, and visit our onsite restaurant and bar, Bistro on Yale, for innovative cuisine and refreshing cocktails (as well as daily happy hour specials). Additional hotel highlights include a swimming pool, spa, and fitness center, so that you can stay fit and pamper yourself here in Seattle. Last but not least, our hotel location makes it easy for you to explore Pike Place Market, Westlake Mall, or other popular area attractions. Plan your visit at the SpringHill Suites Seattle Downtown/South Lake Union today. We look forward to seeing you."
Fairmont Olympic Hotel,"411 University St, Seattle, WA 98101","Downtown Seattle’s premier luxury hotel, the Fairmont Olympic captures the old-world charm and elegance of the Italian Renaissance. Built in 1924 and located in the heart of the city, this legendary hotel offers breathtaking architecture, acclaimed dining and impeccable service. With spacious rooms and corridors, as well as a full-service fitness center and indoor pool/spa, The Fairmont Olympic shines as the classic must-experience hotel in Seattle. Named the No. 1 best hotel in Seattle by the U.S. News & World Report for 2018, The Fairmont Olympic is also a local favorite for dining in Seattle and host to award-winning restaurants."
La Quinta Inn & Suites Seattle Downtown,"2224 8th Ave, Seattle, WA 98121","For a comfortable visit to the vibrant hub of the city, our hotel is the perfect place to retreat cozily amid all the activity and area attractions. The Seattle streets are lined with diversified shops, boutiques, and restaurants for a sophisticated, urban-chic excursion. Spend an afternoon in Gasworks Park or one of many other downtown park, or enjoy the quiet beauty at Lake Washington. When you’re at our hotel, you have instant access to the best of both worlds for business travel and pleasure trips. We’re just a few blocks from the Washington State Convention Center for corporate guests, and vacationers can visit the best museums and popular destinations all within walking distance. Enjoy modern amenities, friendly service, and spacious guest rooms, all located less than half a mile from the must-see Space Needle landmark. As a distinctly charming and trendy city, Seattle’s spectacular skyline is unmistakable, featuring the Space Needle less than half a mile from our hotel. The area’s sprawling park system shows off the unique beauty and pristine outdoors of the Pacific Northwest. From the performing and cultural arts to a thriving music scene to the many museums, every area visitor can find a versatile and interesting way to spend an afternoon. The Seattle metro region also attracts a great deal of professional travelers in town on business at booming Fortune 500 companies including Costco Wholesale, Microsoft, Amazon, Facebook, Starbucks, and Nordstrom. Furthermore, sports fans have instant access to athletic stadiums for three major teams: the Seattle Mariners, Seahawks, and Sounders all walking distance of our hotel."
Embassy Suites by Hilton Seattle Downtown Pioneer Square,"255 S King St, Seattle, WA 98104","Nestled in Seattle's original neighborhood Pioneer Square, the Embassy Suites by Hilton Downtown is the perfect hub for your next Northwest experience. Our spacious suites offer sleeping and living areas, a queen-size sofa bed as well as a 50-inch HDTV, kitchenettes and innovative technology. Dine at a Seattle institution, 13 Coins, or meet friends for a hand-crafted cocktail at Zephyr Bar – located right in our lobby. When it's time to unwind, stop by the Health Club, which includes a heated indoor pool, hot tub and sun deck. Begin every morning with a free made-to-order breakfast and end the day with drinks and snacks at the complimentary Evening Reception. Explore Pike Market, Pier 55 or the Seattle Art Museum all within one mile. Cheer on your team at the CenturyLink Field, home to Seahawks Football and Sounders FC. Enjoy a relaxing Mariners baseball game at T-Mobile Park. Plan your trip around the Seattle Boat Show or take in a show at WAMU Theater."
Pan Pacific Seattle,"2125 Terry Ave, Seattle, WA 98121","When you are at Pan Pacific Seattle, you can trust us to make your stay here better. Settle into the city's cultural epicentre with stylish, contemporary comforts, plus easy access to popular attractions like the stunning Seattle Space Needle."
Kimpton Hotel Vintage Seattle,"1100 5th Ave, Seattle, WA 98101","Wondering what’s around Kimpton Hotel Vintage Seattle? A better question might be what’s not around. From our spot at the corner of 5th Avenue and Spring Street, the heart of the city’s retail and financial district, we’re just steps from spots like Pike Place Market, Benaroya Hall, the Seattle Art Museum, the Seattle Public Library, Safeco Field, Pioneer Square, and the Washington State Convention & Trade Center. For transportation options, your feet work great in the easily walkable downtown, and we’re also near the ferry terminal and dozens of buses. If you’re driving, there’s easy access from I-5, and those coming in from Sea-Tac International Airport can take the Central Link Light Rail, a shuttle, a taxi, or a ride-sharing service. (The light rail takes about 40 minutes and costs $3, while driving is about 20 to 30 minutes; prices vary based on the mode of transportation you use.) In short, your options for getting here and getting around are almost as endless as the potential activities in the immediate vicinity."
Hyatt Place Seattle,"110 6th Ave N, Seattle, WA 98109","Our prime location in the heart of downtown Seattle offers you the combination of majestic Olympic Mountains views, the vibrancy of the Emerald City and the relaxing, quiet magnificence of the Puget Sound.? Hyatt Place Seattle/Downtown is a modern and inviting hotel located just a few blocks from the Space Needle where you can relax and enjoy the most exciting things to do in Seattle. When you’re ready to explore the area, check out nearby attractions like the Pacific Science Center, Pike Place Market, and the vibrant Seattle Waterfront. All of our spacious guestrooms feature our plush Hyatt Grand Bed® and state-of-the-art media and work centers. You’ll love the 42"" HDTV, Cozy Corner with sofa or sofa-sleeper, and bathroom vanities with granite countertops and complimentary amenities. Get connected with free Wi-Fi and remote printing."
Hyatt House Seattle,"201 5th Ave N, Seattle, WA 98109","Located in the shadow of the Space Needle, the Hyatt House Seattle/Downtown is the picture-perfect location for your next vacation or business trip. Experience first-hand the customer service you deserve, where you will be treated not just as another room number, but as a valued Hyatt House guest. Your senses will be delighted as you gaze at the majestic Olympic Mountains and the quiet magnificence of Puget Sound. At Hyatt House Seattle/Downtown, you will find everything you need to enjoy the perfect stay in the heart of Seattle, Washington. Enjoy an attractive view of downtown Seattle from your spacious studio giving you ample space to keep routines rolling. The spacious studio features a divided living and sleeping area with a sofa-sectional with sofa bed, two queen plush Hyatt Grand Beds®, and fully-equipped stainless kitchen. Other features include a spacious closet, 42"" flat panel TV, dedicated workspace and a generous bathroom with a relaxing bathtub. With your stay, enjoy complimentary Wi-Fi and our Morning Spread breakfast with Omelet Bar."
Inn at the Market,"86 Pine St, Seattle, WA 98101","Recently renovated, Inn at the Market is the only downtown Seattle hotel located directly in the famous Pike Place Market. Recognized by Travel + Leisure and Condé Nast, Inn at the Market is a tranquil hideaway, just steps away from the vibrant atmosphere of Pike Place Market and the Seattle Waterfront. Inn at the Market offers modern Pacific Northwest style and comfort surrounded by downtown Seattle’s most acclaimed restaurants and iconic landmarks. Inn at the Market is your home away from home, offering the best choice in hotels Seattle has to offer. From the Inn's 76 rooms, guests can savor views of downtown, Pike Place Market, Seattle's waterfront, the Puget Sound, and the Olympic Mountains. Of all the downtown hotels that Seattle can offer, the Inn at the Market's rooftop deck provides the ultimate panoramic view of Pike Place Market, downtown Seattle, and Elliott Bay. Explore the city and then unwind on the deck with Pacific Northwest cheese and wine from Pike Place Market as you watch the ferries cross the Puget Sound into a glistening sunset. Inn at the Market offers a signature Northwest experience, treasured by visitors and locals alike, courtesy of a first-class downtown Seattle hotel."
Moxy Seattle Downtown,"1016 Republican St, Seattle, WA 98109","Located in Downtown Seattle’s South Lake Union neighborhood, SLU is the city’s most modern destination for dining, entertainment and progressive commerce. The area features the West Coast’s largest flotilla of yummy food trucks. The bright and open lobby layout is paired with sleek furniture. Check in at the bar and enjoy a complimentary cocktail when you arrive. Our signature 'Got Moxy?' cocktail will start your stay off right. The ''Plug and Meet' gathering areas provide modern ergonomic seating, large writing walls and 56 inch televisions for projection. The lobby also boasts 24/7 Food & Beverage offering a wide selection of snacks and drinks. Bar Moxy features wines by the glass and local brews. All bedrooms are equipped with 42 inch flat screen televisions, build in USB ports and free Wifi. Our neighbors include movers and shakers such as Amazon.com, Tommy Bahama, The Cancer Care Alliance, Washington's History & Industry Museum, Center for Wooden Boats and of course, the Community Banana Stand."
Thompson Seattle,"110 Stewart St, Seattle, WA 98101","Located near the Puget Sound waterfront, our luxury boutique hotel reflects the intrinsic beauty of Seattle and elevates the refined edge of downtown. Condé Nast Traveler thinks so, too—naming us to its 2017 Hot List as one of the 75 most exciting hotels in the world. Come and experience the celebrated interplay of creativity and community within our sleek glass façade. Vitality and innovation find their home here, where innovators, entrepreneurs, and philanthropists seek refuge from the ordinary. Conceived by the city’s own award-winning Olson Kundig Architects, Thompson Seattle is a contemporary urban landmark at the center of an unparalleled landscape. Expansive, gasp-inducing views of the Sound, coupled with the energy of Pike Place Market and the culture of downtown, ensure that Thompson Seattle embodies the best of this modern city. It’s a place where travelers become residents and residents are transported, with revelry fueled by Executive Chef Derek Simcik's dining experiences. His culinary vision pays homage to the bounty of the Pacific Northwest, adding intriguing layers to the choreography of your stay. "
Holiday Inn Seattle Downtown,"211 Dexter Ave N, Seattle, WA 98109","Your home away from home in the Heart of Downtown Seattle! The Holiday Inn® Seattle offers guests the most convenient location in the City. We are just five blocks from Seattle Center, and leisure guests know our hotel is the best because we are a short walk away from the Space Needle, Pike Place Market and Pioneer Square. No visit is complete without a stop at a Seattle icon like Nordstrom or catching a game at either Safeco Field or CenturyLink Stadium. We're also close to some of Seattle's most distinctive districts like Capitol Hill, Queen Anne and Fremont. Even the Seattle Art Museum is within walking distance of our Hotels location. If business brings you to town, you'll love our hotel because we are close to major businesses, universities and the Seattle Cruise Terminals. Plus we offer free high-speed Internet access, a Business Center, room service, and meeting rooms to make doing business easy. Among downtown hotels in Seattle only ours can match a terrific location with outstanding service and amenities. Our friendly and knowledgeable staff is here to ensure you have the perfect Emerald City experience. From museum directions to fine dining at our full-service restaurant and lounge, you will find we have not overlooked a thing. Make your next trip perfect and choose our downtown Seattle hotel."
Executive Hotel Pacific,"400 Spring St, Seattle, WA 98104","History stays here. Built in 1928, the Executive Hotel Pacific is a synthesis of west coast style and first class hospitality, a welcome sanctuary from the throb and surge of Downtown Seattle. The guest rooms offer modern comfort that artfully compliment the layout of each of the 155 stylish guest rooms. The accommodations offer soothing soft tones, are tastefully furnished and feature our signature ‘Dream Escape’ bedding. Located in the financial area of Downtown Seattle, the Executive Hotel Pacific is moments from all the best that Seattle has to offer, the waterfront, shopping, theaters, restaurants and world-class sports arenas. Located at 4th and Spring Street, we are located across the street from the architecturally acclaimed wonder, the Seattle Public Library. We are centrally located within a short distance from Pike Place Market, the Waterfront shops and bistros, the Cruise Ship Terminal, Benaroya Hall, Safeco Field, CenturyLink Field, the Space Needle and conveniently situated to all major business centers such as the Federal Building, City Hall and King County Buildings."
Hotel Andra,"2000 4th Ave, Seattle, WA 98121","Hotel Andra is a stylish 119 guestroom boutique luxury hotel ideally located in the heart of downtown Seattle. Nestled between South Lake Union and Belltown, next to the retail core, this surrounding downtown area is thriving with food, music, art and history. Within walking distance of famous Pike Place Market, Seattle Center and the Space Needle, Hotel Andra provides a sophisticated urban escape with first-class luxury hotel offerings. Hotel Ändra also offers sophisticated spaces for meetings and events with venues such as the Northern Lights Room, the Galleri and the Ändra Loft. We would love to help you arrange celebrations of any kind, private dinners, board meetings or other events. Events can be done together with exclusive catering by Tom Douglas – Seattle’s most celebrated chef and restauranteur."
Residence Inn by Marriott Seattle Downtown/Convention Center,"1815 Terry Ave, Seattle, WA 98101","Experience Seattle’s unique, creative energy from our brand new hotel. Built from the ground up and designed with style, comfort and added amenities, this hotel merges functionality with an urban lifestyle. Maximize your extended stay in our apartment-style suites, with the convenience of a fully equipped kitchen. After an active day of work or adventure in the Pacific Northwest mountains, kick back with friends while enjoying a cold craft beer and local cuisine at our lobby bar.Every morning, fuel up for the day ahead with our complimentary hot breakfast featuring the nation’s best Coffee selection, then check the latest headlines via our free property-wide Wi-Fi. In-between meetings or outdoor adventures, work up a sweat at our fitness center with state of the art equipment. Our hotel offers 4 well-appointed event rooms ideal for social events and professional meetings. Book your stay today and discover the Emerald City at the Residence Inn Seattle Downtown. Spacious suites with full kitchens and separate living, working, and sleeping areas. Close to Washington Convention Center, Amazon, Pike Place Market, Space Needle, Capital Hill and more. Free hot breakfast daily, free WiFi, lobby bar and state of the art fitness center."
Best Western Plus Pioneer Square Hotel Downtown,"77 Yesler Way, Seattle, WA 98104","Great rates, ideal location, complimentary continental breakfast, free high speed Internet. Near sports stadiums, waterfront and all major attractions! The Best Western Plus Pioneer Square Hotel is centrally located for all of Seattle's attractions including the University of Washington, convention center and cruise lines. Government and corporate guests will appreciate the hotels close proximity to the Federal Building, Amazon, ING, Starbucks and city centre. This hotel is a unique historic Victorian-Romanesque landmark, offering excellent customer service and traditional furnishings with all the modern amenities of home. Each well-appointed guest room and suite features cable satellite television and wireless high-speed Internet. Start the day off with fresh Belgian waffles at the complimentary continental breakfast; check email in the hotels computer center or enjoy a cup of coffee in front of the lobby fireplace as you plan your day. Spend it taking advantage of all the sites and activities of this unique historic waterfront district that is full of quaint shops, antiques, galleries, museums, restaurants and attractions. Within walking distance or just a short bus or a monorail ride away, are the Underground Tour, Klondike Gold Rush, Chinatown, International District, Seattle Aquarium, Seattle Art Museum and the Space Needle. The hotel offers room service, health club privileges, and a computer center. Whether its Seattle Mariners baseball, Seahawks football or a Sounders FC game, shopping at Pike Place Market or just a special romantic weekend getaway, the Best Western Plus Pioneer Square Hotel is simply the perfect downtown Seattle hotel location and best value in Seattle."
Travelodge Seattle by The Space Needle,"200 6th Ave N, Seattle, WA 98109","Travelodge Seattle by The Space Needle is a hotel in Seattle, WA near the Space Needle. In fact, we are only 2 blocks away from this well-known icon, plus the EMP Museum and Chihuly Garden and Glass. In addition to an unmatched location, we offer guests an exceptional travel experience, whether they're in town for business or pleasure. Enjoy spacious, clean hotel rooms with fantastic amenities like free high-speed Wi-Fi and flat-screen HDTV, plus conveniences like a microwave and mini-fridge. Every morning, fuel up with a complimentary breakfast that includes hot selections. Relax in the outdoor pool and hot tub, or get in a workout in the fitness room. For your convenience, we offer a business center and laundry facilities."
Homewood Suites by Hilton Seattle Convention Center Pike Street,"1011 Pike St, Seattle, WA 98101","The Homewood Suites by Hilton Seattle-Conv Ctr-Pike Street hotel is located one block from the Washington State Convention Center in beautiful downtown Seattle. Our hotel is on the same street as the world-famous Pike Place Market, on the edge of the Seattle shopping district and Capitol Hill, and only one block from the Paramount Theater. Step outside our Homewood Suites hotel and you'll immediately feel the pulse of exciting nightlife, dining, and entertainment venues, not to mention top attractions. Our property is one of the best downtown Seattle hotels for corporate housing. Business travelers will be impressed by our great meeting space, business center, and proximity to various businesses, including Amazon, Nordstrom, Facebook, Google, Oracle, Deloitte, and Apple. Stay as long as you like in stylish studio or one-bedroom suites, featuring separate living and sleeping areas. These suites have been designed to make you feel as comfortable as you would at home, with a fully equipped kitchen, offering a full-size refrigerator, two-burner stove and dishwasher. our extended stay in Seattle at our hotel includes two TVs and free WiFi. Upgrade to a Premium Suite to enjoy complimentary snacks and non-alcoholic beverages replenished daily, plus an in-suite Keurig® coffee brewer with assorted K-Cups and Premium WiFi.  At your Homewood Suites by Hilton hotel, you’ll enjoy a range of inclusive perks to help you feel right at home. Indulge in a hot full breakfast each morning and complimentary evening social* Monday through Thursday. For dinner, stop by one of the many nearby restaurants such as Romio's Pizza & Pasta for some awesome food. We offer a complimentary grocery shopping service—and if you forget something, there’s a 24-hour on-site convenience store. Other benefits include weekday newspaper delivery and complimentary internet access. We are located right next to Avis Car Rental. It’s all you need to make yourself at home."
Hyatt Regency Seattle,"808 Howell St, Seattle, WA 98101","Located in the heart of downtown Seattle, Hyatt Regency Seattle is just a five-minute walk from the Washington State Convention Center. Stay within a mile of Seattle’s must-see attractions, including the Space Needle, Chihuly Garden and Glass, Pike Place Market, and more. From your room, admire stunning views through floor-to-ceiling windows. To enjoy sweeping views of the Seattle cityscape from our club-level patio, opt for a Regency Club room. Work out at our expansive 24-hour StayFit Fitness Center, outfitted with Peloton bikes and other Technogym state-of-the-art cardio and strength equipment. Our hotel features a variety of food and beverage options, including a fast-casual Italian-style trattoria, Andare Kitchen & Bar; locally renowned steakhouse, Daniel’s Broiler; and The Market, open 24 hours for grab-and-go items with café seating. As the largest hotel in the Pacific Northwest, we offer 103,000 square feet of flexible indoor meeting space, just steps from the Washington State Convention Center. Say “I do” in the heart of downtown Seattle. Choose from a variety of wedding venues within our hotel, ideal for intimate gatherings or sprawling receptions."
Hotel Sorrento,"900 Madison St, Seattle, WA 98104","Among the Sorrento’s 76 guestrooms, no two are alike. Older buildings were designed for form, not conformity, so each room was given the curves and corners required to make it fit. Along with original details like carved wood moldings and period fixtures, every room offers a century’s worth of refinement: meticulously restored vintage furnishings, rich fabrics and one-of-a-kind artwork. We’ve been told by many a return guest that our beds are the most comfortable in Seattle and that they wish they could take our sheets home with them. Our white-marble bathrooms are the essence of simple elegance. And these days complementary in-room Wi-Fi is a given. As Seattle’s longest continuously running boutique hotel in one of America’s great dining cities, Hotel Sorrento has held the gold standard for food and drink since the days when “farm-to-table” was a foregone conclusion. We feature three distinct hospitality settings, the Dunbar Room and Bar, the Fireside Room, and the Garden (our summer oasis). Each setting offers a unique food and beverage experience."
City Hostel Seattle,"2327 2nd Ave, Seattle, WA 98121","In an elegant building in the urban Belltown neighborhood, this art-focused hostel and art gallery is a 9-minute walk from Pike Place Market. It's also a 12-minute walk from Olympic Sculpture Park and Elliott Bay Trail. Funky, basic dorms feature graphic artwork by local painters and free Wi-Fi. All come with shared en suite or hallway bathrooms. Guest rooms might add private bathrooms. Breakfast and parking are complimentary. Amenities include a communal kitchen, a courtyard patio with a grill, and a rooftop garden with a hot tub. There's also a business center, a 20-seat movie theater and a game room."
